[INFO] | Logging server started and listening for messages...
[INFO] | 2025-03-20 22:16:18.476 | INFO | main_window.py:setup_logging:79 | ✅ Logging initialized successfully.
[DEBUG] | DEBUG main_window.py:764 - 2025-03-20 22:16:24.390 | DEBUG | main_window.py:main:764 | Webcam checkbox state: False
[DEBUG] | DEBUG main_window.py:775 - 2025-03-20 22:16:24.394 | DEBUG | main_window.py:main:775 | Updated API endpoints: {'FastAPI': 'http://localhost:8000', 'BentoML': 'http://localhost:3000'}
[INFO] | 2025-03-20 22:16:28.896 | INFO | main_window.py:__init__:116 | GestureRecognitionApp initialized successfully.
[INFO] | 2025-03-20 22:16:28.915 | INFO | main_window.py:setup_logging:79 | ✅ Logging initialized successfully.
[INFO] | 2025-03-20 22:16:28.917 | INFO | main_window.py:main:702 | Starting Streamlit app.
[INFO] | 2025-03-20 22:16:28.918 | INFO | main_window.py:main:707 | User selected API source: FastAPI
[DEBUG] | DEBUG main_window.py:711 - 2025-03-20 22:16:28.918 | DEBUG | main_window.py:main:711 | Setting API source to: FastAPI
[INFO] | 2025-03-20 22:16:28.918 | INFO | main_window.py:set_api_source:122 | API source set to FastAPI.
[INFO] | 2025-03-20 22:16:28.923 | INFO | main_window.py:main:722 | User selected gesture recognition type: Hands
[INFO] | 2025-03-20 22:16:28.923 | INFO | main_window.py:set_gesture_type:134 | Gesture type set to Hands.
[DEBUG] | DEBUG main_window.py:725 - 2025-03-20 22:16:28.923 | DEBUG | main_window.py:main:725 | Gesture type set to: hands
[INFO] | 2025-03-20 22:16:28.925 | INFO | main_window.py:main:754 | User selected game: Subway Surfers
[DEBUG] | DEBUG main_window.py:764 - 2025-03-20 22:16:28.927 | DEBUG | main_window.py:main:764 | Webcam checkbox state: False
[DEBUG] | DEBUG main_window.py:775 - 2025-03-20 22:16:28.929 | DEBUG | main_window.py:main:775 | Updated API endpoints: {'FastAPI': 'http://localhost:8000', 'BentoML': 'http://localhost:3000'}
[INFO] | 2025-03-20 22:16:32.388 | INFO | main_window.py:__init__:116 | GestureRecognitionApp initialized successfully.
[INFO] | 2025-03-20 22:16:32.404 | INFO | main_window.py:setup_logging:79 | ✅ Logging initialized successfully.
[INFO] | 2025-03-20 22:16:32.405 | INFO | main_window.py:main:702 | Starting Streamlit app.
[INFO] | 2025-03-20 22:16:32.407 | INFO | main_window.py:main:707 | User selected API source: FastAPI
[DEBUG] | DEBUG main_window.py:711 - 2025-03-20 22:16:32.408 | DEBUG | main_window.py:main:711 | Setting API source to: FastAPI
[INFO] | 2025-03-20 22:16:32.409 | INFO | main_window.py:set_api_source:122 | API source set to FastAPI.
[INFO] | 2025-03-20 22:16:32.410 | INFO | main_window.py:main:722 | User selected gesture recognition type: Hands
[INFO] | 2025-03-20 22:16:32.411 | INFO | main_window.py:set_gesture_type:134 | Gesture type set to Hands.
[DEBUG] | DEBUG main_window.py:725 - 2025-03-20 22:16:32.411 | DEBUG | main_window.py:main:725 | Gesture type set to: hands
[INFO] | 2025-03-20 22:16:32.414 | INFO | main_window.py:main:754 | User selected game: Subway Surfers
[DEBUG] | DEBUG main_window.py:764 - 2025-03-20 22:16:32.415 | DEBUG | main_window.py:main:764 | Webcam checkbox state: True
[DEBUG] | DEBUG main_window.py:775 - 2025-03-20 22:16:32.416 | DEBUG | main_window.py:main:775 | Updated API endpoints: {'FastAPI': 'http://localhost:8000', 'BentoML': 'http://localhost:3000'}
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:32.745 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:32.745 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:32.745 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:32.745 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:32.745 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:32.747 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:32.753 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:32.753 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:32.753 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:32.815 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:32.815 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:32.820 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:32.820 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:32.820 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:32.842 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:32.843 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:32.843 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:32.843 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:32.843 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:32.844 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:32.846 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:32.846 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:32.846 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:32.890 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:32.890 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:32.896 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:32.897 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:32.897 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:32.916 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:32.917 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:32.917 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:32.917 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:32.917 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:32.918 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:32.920 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:32.920 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:32.920 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:32.964 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:32.965 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:32.968 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:32.968 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:32.968 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:32.984 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:32.984 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:32.984 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:32.984 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:32.984 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:32.987 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:32.990 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:32.990 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:32.990 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.033 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.034 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.037 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.037 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.038 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.053 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.053 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.054 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.054 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.054 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.055 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.057 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.057 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.057 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.100 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.100 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.104 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.104 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.104 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.119 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.120 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.120 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.121 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.121 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.122 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.124 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.124 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.124 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.167 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.168 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.172 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.172 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.172 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.188 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.189 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.189 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.189 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.189 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.190 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.193 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.193 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.193 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.234 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.235 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.238 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.238 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.239 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.255 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.256 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.256 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.256 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.256 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.257 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.259 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.259 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.259 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.301 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.302 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.306 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.306 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.306 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.321 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.322 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.322 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.323 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.324 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.325 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.327 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.327 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.328 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.368 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.368 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.371 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.371 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.372 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.386 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.387 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.387 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.387 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.387 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.387 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.390 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.390 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.390 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.427 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.427 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.430 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.431 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
[INFO] | 2025-03-20 22:16:33.431 | INFO | main_window.py:process_frame_api_generic:658 | Frame processing completed successfully.
[DEBUG] | DEBUG main_window.py:804 - 2025-03-20 22:16:33.445 | DEBUG | main_window.py:main:804 | Processing frame from webcam.
[INFO] | 2025-03-20 22:16:33.446 | INFO | main_window.py:process_frame:680 | Processing frame based on client mode.
[DEBUG] | DEBUG main_window.py:686 - 2025-03-20 22:16:33.446 | DEBUG | main_window.py:process_frame:686 | Client mode set to 'api'. Processing frame via FastAPI.
[INFO] | 2025-03-20 22:16:33.446 | INFO | main_window.py:process_frame_api_generic:399 | Starting frame processing via FastAPI API.
[DEBUG] | DEBUG main_window.py:403 - 2025-03-20 22:16:33.446 | DEBUG | main_window.py:process_frame_api_generic:403 | Using API URL: http://localhost:8000
[DEBUG] | DEBUG main_window.py:407 - 2025-03-20 22:16:33.446 | DEBUG | main_window.py:process_frame_api_generic:407 | Frame flipped horizontally.
[DEBUG] | DEBUG main_window.py:412 - 2025-03-20 22:16:33.449 | DEBUG | main_window.py:process_frame_api_generic:412 | Frame encoded as base64.
[DEBUG] | DEBUG main_window.py:425 - 2025-03-20 22:16:33.449 | DEBUG | main_window.py:process_frame_api_generic:425 | Payload prepared for FastAPI request.
[INFO] | 2025-03-20 22:16:33.449 | INFO | main_window.py:process_frame_api_generic:429 | Sending POST request to FastAPI server.
[DEBUG] | DEBUG main_window.py:431 - 2025-03-20 22:16:33.487 | DEBUG | main_window.py:process_frame_api_generic:431 | FastAPI response received. Status code: 200
[INFO] | 2025-03-20 22:16:33.488 | INFO | main_window.py:process_frame_api_generic:494 | API response indicates success. Processing response data.
[DEBUG] | DEBUG main_window.py:508 - 2025-03-20 22:16:33.490 | DEBUG | main_window.py:process_frame_api_generic:508 | Extracted results: {'action': None, 'thumb_up': False, 'in_neutral': False, 'dx': None, 'dy': None}
[DEBUG] | DEBUG main_window.py:515 - 2025-03-20 22:16:33.491 | DEBUG | main_window.py:process_frame_api_generic:515 | Updated current state: neutral
